id,title,artist,emoji,choices_json,answer_idx,preview_1s_url,preview_3s_url,preview_5s_url,context_hint,facts_json,pack,year,tv_movie_ref
sp_0010,Baby Got Back,Sir Mix-A-Lot,🎵✨,"[""Let It Be - Remastered 2009 — The Beatles"", ""This Love — Maroon 5"", ""Achy Breaky Heart — Billy Ray Cyrus"", ""Baby Got Back — Sir Mix-A-Lot""]",3,,,,From 'Mack Daddy' (1992),"[""From album: Mack Daddy"", ""Release year: 1992""]",Playlist Import,1992,
sp_0011,All Star,Smash Mouth,✨,"[""All Star — Smash Mouth"", ""White Rabbit — Jefferson Airplane"", ""Welcome To The Jungle — Guns N' Roses"", ""Black Betty — Ram Jam""]",0,,,,From 'All Star Smash Hits' (2005),"[""From album: All Star Smash Hits"", ""Release year: 2005"", ""Spotify popularity: 1/100""]",Playlist Import,2005,
sp_0012,Single Ladies (Put a Ring on It),Beyoncé,📞,"[""Bring It On Home to Me — Sam Cooke"", ""Single Ladies (Put a Ring on It) — Beyoncé"", ""Gucci Gang — Lil Pump"", ""Hungry Like the Wolf - 2009 Remaster — Duran Duran""]",1,,,,From 'Single Ladies (Put A Ring On It) - Dance Remixes' (2009),"[""From album: Single Ladies (Put A Ring On It) - Dance Remixes"", ""Release year: 2009"", ""Spotify popularity: 37/100""]",Playlist Import,2009,
sp_0013,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",🎵✨,"[""Jack & Diane — John Mellencamp"", ""Hips Don't Lie (feat. Wyclef Jean) — Shakira, Wyclef Jean"", ""CAN'T STOP THE FEELING! (from DreamWorks Animation's \""TROLLS\"") — Justin Timberlake"", ""I Kissed A Girl — Katy Perry""]",1,,,,"From 'Oral Fixation, Vol. 2 (Expanded Edition)' (2005)","[""From album: Oral Fixation, Vol. 2 (Expanded Edition)"", ""Release year: 2005"", ""Spotify popularity: 69/100""]",Playlist Import,2005,
sp_0014,Viva La Vida,Coldplay,🎵✨🎧,"[""Hello — Lionel Richie"", ""Viva La Vida — Coldplay"", ""Wanted Dead Or Alive — Bon Jovi"", ""Cheeseburger In Paradise — Jimmy Buffett""]",1,,,,From 'Viva La Vida Or Death And All His Friends' (2008),"[""From album: Viva La Vida Or Death And All His Friends"", ""Release year: 2008""]",Playlist Import,2008,
sp_0015,Stronger,Kanye West,🎵✨🎧,"[""Dance Monkey — Tones And I"", ""I'm a Believer - 2006 Remaster — The Monkees"", ""Stronger — Kanye West"", ""Cheeseburger In Paradise — Jimmy Buffett""]",2,,,,From 'Stronger' (2007),"[""From album: Stronger"", ""Release year: 2007"", ""Spotify popularity: 44/100""]",Playlist Import,2007,
sp_0016,Since U Been Gone,Kelly Clarkson,🎵✨🎧,"[""Margaritaville — Jimmy Buffett"", ""Stayin' Alive - 2007 Remastered Version Saturday Night Fever — Bee Gees"", ""Since U Been Gone — Kelly Clarkson"", ""Seven Nation Army — The White Stripes""]",2,,,,From 'Breakaway' (2004),"[""From album: Breakaway"", ""Release year: 2004""]",Playlist Import,2004,
sp_0017,Crank That (Soulja Boy),Soulja Boy,🎵✨🎧,"[""Crank That (Soulja Boy) — Soulja Boy"", ""Havana (feat. Young Thug) — Camila Cabello, Young Thug"", ""867-5309 / Jenny (Rerecorded) — Tommy Tutone"", ""I Heard It Through The Grapevine — Marvin Gaye""]",0,,,,From 'Crank That (Soulja Boy)' (2007),"[""From album: Crank That (Soulja Boy)"", ""Release year: 2007""]",Playlist Import,2007,
sp_0018,Before He Cheats,Carrie Underwood,🎵✨🎧,"[""Say So — Doja Cat"", ""Mr. Roboto — Styx"", ""Before He Cheats — Carrie Underwood"", ""Brown Eyed Girl — Van Morrison""]",2,,,,From 'Some Hearts' (2005),"[""From album: Some Hearts"", ""Release year: 2005"", ""Spotify popularity: 78/100""]",Playlist Import,2005,
sp_0019,Low (feat. T-Pain),"Flo Rida, T-Pain",🎵✨,"[""California Gurls — Katy Perry, Snoop Dogg"", ""Low (feat. T-Pain) — Flo Rida, T-Pain"", ""All About That Bass — Meghan Trainor"", ""Johnny B. Goode - Single Version — Chuck Berry""]",1,,,,From 'Mail on Sunday' (2008),"[""From album: Mail on Sunday"", ""Release year: 2008"", ""Spotify popularity: 85/100""]",Playlist Import,2008,
sp_0020,Boom Boom Pow,Black Eyed Peas,🎵✨🎧,"[""Boom Boom Pow — Black Eyed Peas"", ""La Bamba - Single Version — Ritchie Valens"", ""Starships — Nicki Minaj"", ""Drop It Like It's Hot — Snoop Dogg, Pharrell Williams""]",0,,,,From 'Boom Boom Pow' (2009),"[""From album: Boom Boom Pow"", ""Release year: 2009""]",Playlist Import,2009,
sp_0021,Party In The U.S.A.,Miley Cyrus,🕺,"[""Tiny Dancer — Elton John"", ""Build Me Up Buttercup — The Foundations"", ""Crank That (Soulja Boy) — Soulja Boy"", ""Party In The U.S.A. — Miley Cyrus""]",3,,,,From 'Party In The U.S.A.' (2009),"[""From album: Party In The U.S.A."", ""Release year: 2009"", ""Spotify popularity: 56/100""]",Playlist Import,2009,
sp_0022,TiK ToK,Kesha,🎵✨,"[""Achy Breaky Heart — Billy Ray Cyrus"", ""Gold Digger — Kanye West, Jamie Foxx"", ""TiK ToK — Kesha"", ""Sunday Bloody Sunday - Remastered 2008 — U2""]",2,,,,From 'Animal + Cannibal (Deluxe Edition)' (2010),"[""From album: Animal + Cannibal (Deluxe Edition)"", ""Release year: 2010""]",Playlist Import,2010,
sp_0023,Rolling in the Deep,Adele,🎵✨,"[""All About That Bass — Meghan Trainor"", ""Rolling in the Deep — Adele"", ""SICKO MODE — Travis Scott"", ""Come Together - Remastered 2009 — The Beatles""]",1,,,,From 'Rolling In The Deep' (2010),"[""From album: Rolling In The Deep"", ""Release year: 2010"", ""Spotify popularity: 1/100""]",Playlist Import,2010,
sp_0024,Super Bass,Nicki Minaj,🎵✨,"[""Wish You Were Here — Pink Floyd"", ""Super Bass — Nicki Minaj"", ""Dreams - 2004 Remaster — Fleetwood Mac"", ""All of Me — John Legend""]",1,,,,From 'Pink Friday' (2010),"[""From album: Pink Friday"", ""Release year: 2010"", ""Spotify popularity: 2/100""]",Playlist Import,2010,
sp_0025,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",🎵✨🎧,"[""Moves Like Jagger - Studio Recording From \""The Voice\"" Performance — Maroon 5, Christina Aguilera"", ""Bridge Over Troubled Water — Simon & Garfunkel"", ""Rolling in the Deep — Adele"", ""Born to Run — Bruce Springsteen""]",0,,,,From 'Hands All Over' (2010),"[""From album: Hands All Over"", ""Release year: 2010"", ""Spotify popularity: 76/100""]",Playlist Import,2010,
sp_0026,Call Me Maybe,Carly Rae Jepsen,📞,"[""Blank Space — Taylor Swift"", ""SexyBack (feat. Timbaland) — Justin Timberlake, Timbaland"", ""Call Me Maybe — Carly Rae Jepsen"", ""Let It Be - Remastered 2009 — The Beatles""]",2,,,,From 'Call Me Maybe' (2012),"[""From album: Call Me Maybe"", ""Release year: 2012"", ""Spotify popularity: 49/100""]",Playlist Import,2012,
sp_0027,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",🎵✨🎧,"[""Pour Some Sugar On Me (2012) — Def Leppard"", ""Starman - 2012 Remaster — David Bowie"", ""Celebration - Single Version — Kool & The Gang"", ""Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers] — Daft Punk, Pharrell Williams, Nile Rodgers""]",3,,,,From 'Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]' (2013),"[""From album: Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]"", ""Release year: 2013"", ""Spotify popularity: 81/100""]",Playlist Import,2013,
sp_0028,Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",🎵✨,"[""Saturday in the Park - 2002 Remaster — Chicago"", ""Stairway to Heaven - 1990 Remaster — Led Zeppelin"", ""Thrift Shop (feat. Wanz) — Macklemore & Ryan Lewis, Wanz"", ""The Lion Sleeps Tonight (Wimoweh) — The Tokens""]",2,,,,From 'The Heist' (2012),"[""From album: The Heist"", ""Release year: 2012"", ""Spotify popularity: 3/100""]",Playlist Import,2012,
sp_0029,Billie Jean,Michael Jackson,🎵✨🎧,"[""Billie Jean — Michael Jackson"", ""I Like It — Cardi B, Bad Bunny, J Balvin"", ""(I Can't Get No) Satisfaction - Mono Version / Remastered 2002 — The Rolling Stones"", ""Highway to Hell — AC/DC""]",0,,,,From 'Thriller' (1982),"[""From album: Thriller"", ""Release year: 1982"", ""Spotify popularity: 85/100""]",Playlist Import,1982,
sp_0030,Uptown Girl,Billy Joel,🎵✨,"[""Panda — Desiigner"", ""Uptown Girl — Billy Joel"", ""It Wasn't Me — Shaggy, Rik Rok"", ""All Night Long (All Night) - Single Version — Lionel Richie""]",1,,,,From 'The Essential Billy Joel' (2001),"[""From album: The Essential Billy Joel"", ""Release year: 2001"", ""Spotify popularity: 62/100""]",Playlist Import,2001,
sp_0031,Girls Just Want to Have Fun,Cyndi Lauper,🎵✨🎧,"[""The Lion Sleeps Tonight (Wimoweh) — The Tokens"", ""Papa Was A Rollin' Stone - Single Version — The Temptations"", ""Girls Just Want to Have Fun — Cyndi Lauper"", ""Dream On — Aerosmith""]",2,,,,From 'She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)' (2014),"[""From album: She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)"", ""Release year: 2014"", ""Spotify popularity: 66/100""]",Playlist Import,2014,
sp_0032,"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,🎵✨,"[""Fancy — Iggy Azalea, Charli xcx"", ""Footloose - From \""Footloose\"" Soundtrack — Kenny Loggins"", ""Dani California — Red Hot Chili Peppers"", ""Rock And Roll All Nite — KISS""]",1,,,,From 'Footloose (15th Anniversary Collectors' Edition)' (1984),"[""From album: Footloose (15th Anniversary Collectors' Edition)"", ""Release year: 1984"", ""Spotify popularity: 73/100""]",Playlist Import,1984,
sp_0033,Africa,TOTO,🎵✨,"[""I Like It — Cardi B, Bad Bunny, J Balvin"", ""Bohemian Rhapsody - Remastered 2011 — Queen"", ""Stayin' Alive - 2007 Remastered Version Saturday Night Fever — Bee Gees"", ""Africa — TOTO""]",3,,,,From 'Toto IV' (1982),"[""From album: Toto IV"", ""Release year: 1982"", ""Spotify popularity: 88/100""]",Playlist Import,1982,
sp_0034,Don't Stop Believin',Journey,🎵✨🎧,"[""Welcome To The Jungle — Guns N' Roses"", ""Rude (Acoustic) — MAGIC!"", ""Don't Stop Believin' — Journey"", ""More Than a Feeling — Boston""]",2,,,,From 'The Essential Journey' (2001),"[""From album: The Essential Journey"", ""Release year: 2001"", ""Spotify popularity: 77/100""]",Playlist Import,2001,
sp_0035,Jessie's Girl,Rick Springfield,🎵✨🎧,"[""Proud Mary — Tina Turner"", ""On the Road Again - Live at Austin, Texas - Fall 1979 — Willie Nelson"", ""Three Little Birds — Bob Marley & The Wailers"", ""Jessie's Girl — Rick Springfield""]",3,,,,From 'The Best Of Rick Springfield' (1999),"[""From album: The Best Of Rick Springfield"", ""Release year: 1999"", ""Spotify popularity: 58/100""]",Playlist Import,1999,
sp_0036,Beat It,Michael Jackson,🎵✨🎧,"[""Sweet Child O' Mine — Guns N' Roses"", ""I Walk the Line — Johnny Cash"", ""Beat It — Michael Jackson"", ""Low Rider — War""]",2,,,,From 'Thriller' (1982),"[""From album: Thriller"", ""Release year: 1982"", ""Spotify popularity: 81/100""]",Playlist Import,1982,
sp_0037,Walk Like an Egyptian,The Bangles,🎵✨,"[""Black Betty — Ram Jam"", ""Walk Like an Egyptian — The Bangles"", ""Footloose - From \""Footloose\"" Soundtrack — Kenny Loggins"", ""U Can't Touch This — MC Hammer""]",1,,,,From 'The Essential Bangles' (2004),"[""From album: The Essential Bangles"", ""Release year: 2004"", ""Spotify popularity: 65/100""]",Playlist Import,2004,
sp_0038,Wake Me Up Before You Go-Go,Wham!,🎵✨🎧,"[""Party In The U.S.A. — Miley Cyrus"", ""Wake Me Up Before You Go-Go — Wham!"", ""A Little Party Never Killed Nobody (All We Got) — Fergie, Q-Tip, GoonRock"", ""Hello — Adele""]",1,,,,From 'If You Were There/The Best Of Wham' (2010),"[""From album: If You Were There/The Best Of Wham"", ""Release year: 2010""]",Playlist Import,2010,
sp_0039,Hungry Like the Wolf - 2009 Remaster,Duran Duran,🎵✨,"[""La Bamba - Single Version — Ritchie Valens"", ""Mamma Mia — ABBA"", ""Sunday Bloody Sunday - Remastered 2008 — U2"", ""Hungry Like the Wolf - 2009 Remaster — Duran Duran""]",3,,,,From 'Rio (Collector's Edition)' (1982),"[""From album: Rio (Collector's Edition)"", ""Release year: 1982"", ""Spotify popularity: 76/100""]",Playlist Import,1982,
sp_0040,Eye of the Tiger,Survivor,🎵✨🎧,"[""Keep on Loving You — REO Speedwagon"", ""Can't Hold Us (feat. Ray Dalton) — Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton"", ""I Believe I Can Fly — R. Kelly"", ""Eye of the Tiger — Survivor""]",3,,,,From 'The Best Of Survivor' (2006),"[""From album: The Best Of Survivor"", ""Release year: 2006"", ""Spotify popularity: 52/100""]",Playlist Import,2006,
sp_0041,Born in the U.S.A.,Bruce Springsteen,🎵✨,"[""Jolene — Dolly Parton"", ""CAN'T STOP THE FEELING! (from DreamWorks Animation's \""TROLLS\"") — Justin Timberlake"", ""Born in the U.S.A. — Bruce Springsteen"", ""Don't Start Now — Dua Lipa""]",2,,,,From 'The Essential Bruce Springsteen' (1973),"[""From album: The Essential Bruce Springsteen"", ""Release year: 1973""]",Playlist Import,1973,
sp_0042,Born to Run,Bruce Springsteen,🎵✨,"[""Born to Run — Bruce Springsteen"", ""Fuck Tha Police — N.W.A."", ""Have You Ever Seen The Rain — Creedence Clearwater Revival"", ""Toxic — Britney Spears""]",0,,,,From 'Born To Run' (1975),"[""From album: Born To Run"", ""Release year: 1975"", ""Spotify popularity: 75/100""]",Playlist Import,1975,
sp_0043,The Final Countdown,Europe,🎵✨🎧,"[""Love Runs Out — OneRepublic"", ""Footloose - From \""Footloose\"" Soundtrack — Kenny Loggins"", ""The Final Countdown — Europe"", ""Poker Face — Lady Gaga""]",2,,,,From '80 Totally 80s Hits' (2014),"[""From album: 80 Totally 80s Hits"", ""Release year: 2014"", ""Spotify popularity: 33/100""]",Playlist Import,2014,
sp_0044,Every Breath You Take,The Police,🎵✨🎧,"[""Boom Boom Pow — Black Eyed Peas"", ""Walk Like an Egyptian — The Bangles"", ""Before He Cheats — Carrie Underwood"", ""Every Breath You Take — The Police""]",3,,,,From 'Every Breath You Take : The Classics' (1995),"[""From album: Every Breath You Take : The Classics"", ""Release year: 1995"", ""Spotify popularity: 2/100""]",Playlist Import,1995,
sp_0045,Crazy Train,Ozzy Osbourne,🎵✨,"[""Crazy Train — Ozzy Osbourne"", ""Ring of Fire — Johnny Cash"", ""Happy Together — The Turtles"", ""Firework — Katy Perry""]",0,,,,From 'Blizzard of Ozz (Expanded Edition)' (1980),"[""From album: Blizzard of Ozz (Expanded Edition)"", ""Release year: 1980"", ""Spotify popularity: 7/100""]",Playlist Import,1980,
sp_0046,Never Gonna Give You Up,Rick Astley,🎵✨🎧,"[""Despacito — Luis Fonsi, Daddy Yankee"", ""Redbone — Childish Gambino"", ""American Idiot — Green Day"", ""Never Gonna Give You Up — Rick Astley""]",3,,,,From 'Platinum & Gold Collection' (2004),"[""From album: Platinum & Gold Collection"", ""Release year: 2004""]",Playlist Import,2004,
sp_0047,"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,🎵✨🎧,"[""Danger Zone - From \""Top Gun\"" Original Soundtrack — Kenny Loggins"", ""Despacito — Luis Fonsi, Daddy Yankee"", ""TiK ToK — Kesha"", ""You're So Vain — Carly Simon""]",0,,,,"From 'Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins' (1997)","[""From album: Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins"", ""Release year: 1997"", ""Spotify popularity: 75/100""]",Playlist Import,1997,
sp_0048,Sexual Healing,Marvin Gaye,🎵✨🎧,"[""Highway to Hell — AC/DC"", ""Dangerous Woman — Ariana Grande"", ""For What It's Worth — Buffalo Springfield"", ""Sexual Healing — Marvin Gaye""]",3,,,,From ''80s Pop Hits' (2001),"[""From album: '80s Pop Hits"", ""Release year: 2001"", ""Spotify popularity: 38/100""]",Playlist Import,2001,
sp_0049,Like a Virgin,Madonna,🎵✨🎧,"[""Another Brick In The Wall, Pt. 2 - 2011 Remastered Version — Pink Floyd"", ""Sexy And I Know It — LMFAO"", ""Like a Virgin — Madonna"", ""Dance Monkey — Tones And I""]",2,,,,From 'Like a Virgin' (1984),"[""From album: Like a Virgin"", ""Release year: 1984"", ""Spotify popularity: 72/100""]",Playlist Import,1984,
sp_0050,Karma Chameleon,Culture Club,🎵✨🎧,"[""For What It's Worth — Buffalo Springfield"", ""September — Earth, Wind & Fire"", ""Karma Chameleon — Culture Club"", ""Mr. Brightside — The Killers""]",2,,,,From 'At Worst...The Best Of Boy George And Culture Club' (1993),"[""From album: At Worst...The Best Of Boy George And Culture Club"", ""Release year: 1993"", ""Spotify popularity: 64/100""]",Playlist Import,1993,
sp_0051,9 to 5,Dolly Parton,🎵✨,"[""Another Brick In The Wall, Pt. 2 - 2011 Remastered Version — Pink Floyd"", ""9 to 5 — Dolly Parton"", ""Like a Rolling Stone — Bob Dylan"", ""Blinding Lights — The Weeknd""]",1,,,,From 'Dolly' (2009),"[""From album: Dolly"", ""Release year: 2009""]",Playlist Import,2009,
sp_0052,Jolene,Dolly Parton,🎵✨,"[""Detroit Rock City — KISS"", ""Jolene — Dolly Parton"", ""Toxic — Britney Spears"", ""December, 1963 (Oh What a Night!) — The Four Seasons""]",1,,,,From 'Jolene' (1974),"[""From album: Jolene"", ""Release year: 1974"", ""Spotify popularity: 73/100""]",Playlist Import,1974,
sp_0053,In The Air Tonight,Phil Collins,🎵✨,"[""What's Love Got to Do with It — Tina Turner"", ""In The Air Tonight — Phil Collins"", ""Hello — Lionel Richie"", ""Promiscuous — Nelly Furtado, Timbaland""]",1,,,,From 'Face Value' (1981),"[""From album: Face Value"", ""Release year: 1981"", ""Spotify popularity: 2/100""]",Playlist Import,1981,
sp_0054,Free Fallin',Tom Petty,🎵✨🎧,"[""Band On The Run - Remastered 2010 — Paul McCartney, Wings"", ""Go Your Own Way - 2004 Remaster — Fleetwood Mac"", ""Waterfalls — TLC"", ""Free Fallin' — Tom Petty""]",3,,,,From 'Greatest Hits' (2010),"[""From album: Greatest Hits"", ""Release year: 2010""]",Playlist Import,2010,
sp_0055,Crazy,Gnarls Barkley,🎵✨,"[""Crazy — Gnarls Barkley"", ""No More Mr. Nice Guy - 2002 Remaster — Alice Cooper"", ""Jolene — Dolly Parton"", ""I Kissed A Girl — Katy Perry""]",0,,,,From 'St. Elsewhere' (2006),"[""From album: St. Elsewhere"", ""Release year: 2006"", ""Spotify popularity: 79/100""]",Playlist Import,2006,
sp_0056,Empire State Of Mind,"JAY-Z, Alicia Keys",🎵✨🎧,"[""The Lion Sleeps Tonight (Wimoweh) — The Tokens"", ""Chicken Fried — Zac Brown Band"", ""Empire State Of Mind — JAY-Z, Alicia Keys"", ""A Little Party Never Killed Nobody (All We Got) — Fergie, Q-Tip, GoonRock""]",2,,,,From 'The Hits Collection Volume One (Deluxe)' (2010),"[""From album: The Hits Collection Volume One (Deluxe)"", ""Release year: 2010"", ""Spotify popularity: 51/100""]",Playlist Import,2010,
sp_0057,Rehab,Amy Winehouse,🎵✨,"[""American Idiot — Green Day"", ""Twist And Shout - Remastered 2009 — The Beatles"", ""Rehab — Amy Winehouse"", ""The Joker — Steve Miller Band""]",2,,,,From 'Frank & Back To Black' (2008),"[""From album: Frank & Back To Black"", ""Release year: 2008""]",Playlist Import,2008,
sp_0058,I Kissed A Girl,Katy Perry,🎵✨,"[""Super Bass — Nicki Minaj"", ""I Kissed A Girl — Katy Perry"", ""Can't Get Enough Of Your Love, Babe — Barry White"", ""Firework — Katy Perry""]",1,,,,From 'One Of The Boys' (2008),"[""From album: One Of The Boys"", ""Release year: 2008"", ""Spotify popularity: 76/100""]",Playlist Import,2008,
sp_0059,Firework,Katy Perry,🎵✨,"[""Danger Zone - From \""Top Gun\"" Original Soundtrack — Kenny Loggins"", ""Firework — Katy Perry"", ""You're So Vain — Carly Simon"", ""Gucci Gang — Lil Pump""]",1,,,,From 'Teenage Dream: The Complete Confection' (2012),"[""From album: Teenage Dream: The Complete Confection"", ""Release year: 2012"", ""Spotify popularity: 74/100""]",Playlist Import,2012,
sp_0060,California Gurls,"Katy Perry, Snoop Dogg",🎵✨,"[""Who Are You — The Who"", ""Macarena - Bayside Boys Remix — Los Del Rio"", ""California Gurls — Katy Perry, Snoop Dogg"", ""Heartbreak Hotel — Elvis Presley""]",2,,,,From 'Teenage Dream: The Complete Confection' (2012),"[""From album: Teenage Dream: The Complete Confection"", ""Release year: 2012"", ""Spotify popularity: 76/100""]",Playlist Import,2012,
sp_0061,Bohemian Rhapsody - Remastered 2011,Queen,🎵✨🎧,"[""Hot Stuff — Donna Summer"", ""Surfin' U.S.A. - Remastered 2001 — The Beach Boys"", ""This Love — Maroon 5"", ""Bohemian Rhapsody - Remastered 2011 — Queen""]",3,,,,From 'A Night At The Opera (2011 Remaster)' (1975),"[""From album: A Night At The Opera (2011 Remaster)"", ""Release year: 1975"", ""Spotify popularity: 9/100""]",Playlist Import,1975,
sp_0062,September,"Earth, Wind & Fire",🎵✨🎧,"[""Promiscuous — Nelly Furtado, Timbaland"", ""Light My Fire — The Doors"", ""September — Earth, Wind & Fire"", ""Bye Bye Bye — *NSYNC""]",2,,,,From 'The Eternal Dance' (1992),"[""From album: The Eternal Dance"", ""Release year: 1992"", ""Spotify popularity: 7/100""]",Playlist Import,1992,
sp_0063,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,🌙,"[""Stayin' Alive - 2007 Remastered Version Saturday Night Fever — Bee Gees"", ""Ring of Fire — Johnny Cash"", ""Fireflies — Owl City"", ""All of Me — John Legend""]",0,,,,From 'Saturday Night Fever [The Original Movie Soundtrack]' (1978),"[""From album: Saturday Night Fever [The Original Movie Soundtrack]"", ""Release year: 1978"", ""Spotify popularity: 2/100""]",Playlist Import,1978,
sp_0064,Sweet Home Alabama,Lynyrd Skynyrd,🎵✨,"[""Gucci Gang — Lil Pump"", ""Me and Bobby McGee — Janis Joplin"", ""Greased Lightnin' - From “Grease” Soundtrack — John Travolta, Jeff Conaway"", ""Sweet Home Alabama — Lynyrd Skynyrd""]",3,,,,From 'Lynyrd Skynyrd Greatest Hits' (2008),"[""From album: Lynyrd Skynyrd Greatest Hits"", ""Release year: 2008"", ""Spotify popularity: 2/100""]",Playlist Import,2008,
sp_0065,Superstition - Single Version,Stevie Wonder,🎵✨🎧,"[""What Makes You Beautiful — One Direction"", ""Love Runs Out — OneRepublic"", ""Under the Bridge — Red Hot Chili Peppers"", ""Superstition - Single Version — Stevie Wonder""]",3,,,,From 'Number Ones' (2007),"[""From album: Number Ones"", ""Release year: 2007"", ""Spotify popularity: 2/100""]",Playlist Import,2007,
sp_0066,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,🚀,"[""Dani California — Red Hot Chili Peppers"", ""Rocket Man (I Think It's Going To Be A Long Long Time) — Elton John"", ""Sweet Home Alabama — Lynyrd Skynyrd"", ""Superstition - Single Version — Stevie Wonder""]",1,,,,From 'Rocket Man (EA Version)' (2007),"[""From album: Rocket Man (EA Version)"", ""Release year: 2007""]",Playlist Import,2007,
