id,title,artist,emoji,choices_json,answer_idx,preview_1s_url,preview_3s_url,preview_5s_url,context_hint,facts_json,pack,year,tv_movie_ref,spotify_url
sp_0010,Baby Got Back,Sir Mix-A-Lot,🎵✨🎧,"[""867-5309 / Jenny (Rerecorded) — Tommy Tutone"", ""Superstition - Single Version — Stevie Wonder"", ""Baby Got Back — Sir Mix-A-Lot"", ""Danger Zone - From \""Top Gun\"" Original Soundtrack — Kenny Loggins""]",2,,,,From 'Mack Daddy' (1992),"[""From album: Mack Daddy"", ""Release year: 1992""]",Playlist Import,1992,,https://open.spotify.com/track/4vvOv6MDFFPpEb1gwwb2ZD
sp_0011,All Star,Smash Mouth,✨,"[""All Star — Smash Mouth"", ""I Want To Hold Your Hand - Remastered 2015 — The Beatles"", ""Enter Sandman — Metallica"", ""Viva La Vida — Coldplay""]",0,,,,From 'All Star Smash Hits' (2005),"[""From album: All Star Smash Hits"", ""Release year: 2005"", ""Spotify popularity: 1/100""]",Playlist Import,2005,,https://open.spotify.com/track/22c2pt75xtnDddA5Zlm0yy
sp_0012,Single Ladies (Put a Ring on It),Beyoncé,📞,"[""Dreams - 2004 Remaster — Fleetwood Mac"", ""Riptide — Vance Joy"", ""Single Ladies (Put a Ring on It) — Beyoncé"", ""Yeah! — USHER, Lil Jon, Ludacris""]",2,,,,From 'Single Ladies (Put A Ring On It) - Dance Remixes' (2009),"[""From album: Single Ladies (Put A Ring On It) - Dance Remixes"", ""Release year: 2009"", ""Spotify popularity: 37/100""]",Playlist Import,2009,,https://open.spotify.com/track/4za3cYXGP5ucaA6LqWMPad
sp_0013,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",🎵✨,"[""Hips Don't Lie (feat. Wyclef Jean) — Shakira, Wyclef Jean"", ""Stay With Me — Sam Smith"", ""Fast Car — Tracy Chapman"", ""Take on Me — a-ha""]",0,,,,"From 'Oral Fixation, Vol. 2 (Expanded Edition)' (2005)","[""From album: Oral Fixation, Vol. 2 (Expanded Edition)"", ""Release year: 2005"", ""Spotify popularity: 69/100""]",Playlist Import,2005,,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V
sp_0014,Viva La Vida,Coldplay,🎵✨🎧,"[""Viva La Vida — Coldplay"", ""Roxanne - Remastered 2003 — The Police"", ""Californication — Red Hot Chili Peppers"", ""Firework — Katy Perry""]",0,,,,From 'Viva La Vida Or Death And All His Friends' (2008),"[""From album: Viva La Vida Or Death And All His Friends"", ""Release year: 2008""]",Playlist Import,2008,,https://open.spotify.com/track/68l6YZZ8TlcWVq98l5eW6l
sp_0015,Stronger,Kanye West,🎵✨🎧,"[""Wish You Were Here — Pink Floyd"", ""Ride Wit Me — Nelly, City Spud"", ""Stronger — Kanye West"", ""Wake Me Up Before You Go-Go — Wham!""]",2,,,,From 'Stronger' (2007),"[""From album: Stronger"", ""Release year: 2007"", ""Spotify popularity: 44/100""]",Playlist Import,2007,,https://open.spotify.com/track/2VysjemU93ac5oRg4MfYGp
sp_0016,Since U Been Gone,Kelly Clarkson,🎵✨,"[""Come As You Are — Nirvana"", ""Gimme Shelter — The Rolling Stones"", ""Brick House — Commodores"", ""Since U Been Gone — Kelly Clarkson""]",3,,,,From 'Breakaway' (2004),"[""From album: Breakaway"", ""Release year: 2004""]",Playlist Import,2004,,https://open.spotify.com/track/6Bo7elbKiRfaHBMJGEBHqF
sp_0017,Crank That (Soulja Boy),Soulja Boy,🎵✨🎧,"[""Cocaine — Eric Clapton"", ""All Night Long (All Night) - Single Version — Lionel Richie"", ""My Generation - Mono Version — The Who"", ""Crank That (Soulja Boy) — Soulja Boy""]",3,,,,From 'Crank That (Soulja Boy)' (2007),"[""From album: Crank That (Soulja Boy)"", ""Release year: 2007""]",Playlist Import,2007,,https://open.spotify.com/track/4iNkk2qPPXC1MAZdVUq810
sp_0018,Before He Cheats,Carrie Underwood,🎵✨,"[""Happy — Pharrell Williams"", ""Itsy Bitsy Teenie Weenie Yellow Polka-Dot Bikini — Brian Hyland"", ""Before He Cheats — Carrie Underwood"", ""Rude (Acoustic) — MAGIC!""]",2,,,,From 'Some Hearts' (2005),"[""From album: Some Hearts"", ""Release year: 2005"", ""Spotify popularity: 78/100""]",Playlist Import,2005,,https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt
sp_0019,Low (feat. T-Pain),"Flo Rida, T-Pain",🎵✨🎧,"[""Fireflies — Owl City"", ""Hips Don't Lie (feat. Wyclef Jean) — Shakira, Wyclef Jean"", ""Low (feat. T-Pain) — Flo Rida, T-Pain"", ""The Fresh Prince of Bel-Air — DJ Jazzy Jeff & The Fresh Prince""]",2,,,,From 'Mail on Sunday' (2008),"[""From album: Mail on Sunday"", ""Release year: 2008"", ""Spotify popularity: 85/100""]",Playlist Import,2008,,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J
sp_0020,Boom Boom Pow,Black Eyed Peas,🎵✨,"[""Fergalicious — Fergie, will.i.am"", ""Rocket Man (I Think It's Going To Be A Long Long Time) — Elton John"", ""Boom Boom Pow — Black Eyed Peas"", ""Survivor — Destiny's Child""]",2,,,,From 'Boom Boom Pow' (2009),"[""From album: Boom Boom Pow"", ""Release year: 2009""]",Playlist Import,2009,,https://open.spotify.com/track/0rXgKeO7DWMiXCmNDhkRdd
sp_0021,Party In The U.S.A.,Miley Cyrus,🕺,"[""Baby Got Back — Sir Mix-A-Lot"", ""Party In The U.S.A. — Miley Cyrus"", ""Dani California — Red Hot Chili Peppers"", ""Californication — Red Hot Chili Peppers""]",1,,,,From 'Party In The U.S.A.' (2009),"[""From album: Party In The U.S.A."", ""Release year: 2009"", ""Spotify popularity: 56/100""]",Playlist Import,2009,,https://open.spotify.com/track/4TZZvblv2yzLIBk2JwJ6Un
sp_0022,TiK ToK,Kesha,🎵✨,"[""TiK ToK — Kesha"", ""Don't Start Now — Dua Lipa"", ""Fireflies — Owl City"", ""Fergalicious — Fergie, will.i.am""]",0,,,,From 'Animal + Cannibal (Deluxe Edition)' (2010),"[""From album: Animal + Cannibal (Deluxe Edition)"", ""Release year: 2010""]",Playlist Import,2010,,https://open.spotify.com/track/4srpHYFHKjVGRDNHqRpWxi
sp_0023,Rolling in the Deep,Adele,🎵✨,"[""Just Dance — Lady Gaga, Colby O'Donis"", ""Rolling in the Deep — Adele"", ""Is This Love — Bob Marley & The Wailers"", ""Happy — Pharrell Williams""]",1,,,,From 'Rolling In The Deep' (2010),"[""From album: Rolling In The Deep"", ""Release year: 2010"", ""Spotify popularity: 1/100""]",Playlist Import,2010,,https://open.spotify.com/track/5xPazRvyrkVootu8pM9vUG
sp_0024,Super Bass,Nicki Minaj,🎵✨🎧,"[""Sexual Healing — Marvin Gaye"", ""ROCKSTAR (feat. Roddy Ricch) — DaBaby, Roddy Ricch"", ""Just Dance — Lady Gaga, Colby O'Donis"", ""Super Bass — Nicki Minaj""]",3,,,,From 'Pink Friday' (2010),"[""From album: Pink Friday"", ""Release year: 2010"", ""Spotify popularity: 2/100""]",Playlist Import,2010,,https://open.spotify.com/track/7gKIt3rDGIMJDFVSPBnGmj
sp_0025,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",🎵✨🎧,"[""Moves Like Jagger - Studio Recording From \""The Voice\"" Performance — Maroon 5, Christina Aguilera"", ""It Wasn't Me — Shaggy, Rik Rok"", ""HUMBLE. — Kendrick Lamar"", ""Bridge Over Troubled Water — Simon & Garfunkel""]",0,,,,From 'Hands All Over' (2010),"[""From album: Hands All Over"", ""Release year: 2010"", ""Spotify popularity: 76/100""]",Playlist Import,2010,,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN
sp_0026,Call Me Maybe,Carly Rae Jepsen,📞,"[""Down Under — Men At Work"", ""School's Out — Alice Cooper"", ""Call Me Maybe — Carly Rae Jepsen"", ""Monday, Monday - Single Version — The Mamas & The Papas""]",2,,,,From 'Call Me Maybe' (2012),"[""From album: Call Me Maybe"", ""Release year: 2012"", ""Spotify popularity: 49/100""]",Playlist Import,2012,,https://open.spotify.com/track/6ol4ZSifr7r3Lb2a9L5ZAB
sp_0027,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",🎵✨,"[""Rocket Man (I Think It's Going To Be A Long Long Time) — Elton John"", ""Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers] — Daft Punk, Pharrell Williams, Nile Rodgers"", ""Hotline Bling — Drake"", ""Chicken Fried — Zac Brown Band""]",1,,,,From 'Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]' (2013),"[""From album: Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]"", ""Release year: 2013"", ""Spotify popularity: 81/100""]",Playlist Import,2013,,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof
sp_0028,Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",🎵✨,"[""Empire State Of Mind — JAY-Z, Alicia Keys"", ""Thrift Shop (feat. Wanz) — Macklemore & Ryan Lewis, Wanz"", ""We Are Never Ever Getting Back Together — Taylor Swift"", ""Bohemian Rhapsody - Remastered 2011 — Queen""]",1,,,,From 'The Heist' (2012),"[""From album: The Heist"", ""Release year: 2012"", ""Spotify popularity: 3/100""]",Playlist Import,2012,,https://open.spotify.com/track/4YMqbFcDIFiCBd02PzUBcM
sp_0029,Billie Jean,Michael Jackson,🎵✨🎧,"[""Hot Stuff — Donna Summer"", ""Shake It Off — Taylor Swift"", ""Thunderstruck — AC/DC"", ""Billie Jean — Michael Jackson""]",3,,,,From 'Thriller' (1982),"[""From album: Thriller"", ""Release year: 1982"", ""Spotify popularity: 85/100""]",Playlist Import,1982,,https://open.spotify.com/track/7J1uxwnxfQLu4APicE5Rnj
sp_0030,Uptown Girl,Billy Joel,🎵✨,"[""Uptown Girl — Billy Joel"", ""One Love / People Get Ready — Bob Marley & The Wailers"", ""Rock & Roll Band — Boston"", ""Casey Jones - 2001 Remaster — Grateful Dead""]",0,,,,From 'The Essential Billy Joel' (2001),"[""From album: The Essential Billy Joel"", ""Release year: 2001"", ""Spotify popularity: 62/100""]",Playlist Import,2001,,https://open.spotify.com/track/3CSpzkoL1XgDBZ1q9aDCUV
sp_0031,Girls Just Want to Have Fun,Cyndi Lauper,🎵✨🎧,"[""I Want It That Way — Backstreet Boys"", ""Uptown Girl — Billy Joel"", ""Girls Just Want to Have Fun — Cyndi Lauper"", ""I'm a Believer - 2006 Remaster — The Monkees""]",2,,,,From 'She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)' (2014),"[""From album: She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)"", ""Release year: 2014"", ""Spotify popularity: 66/100""]",Playlist Import,2014,,https://open.spotify.com/track/2zjt2hHBbiv5SuxYg8Z7eP
sp_0032,"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,🎵✨,"[""Footloose - From \""Footloose\"" Soundtrack — Kenny Loggins"", ""Enter Sandman — Metallica"", ""I Kissed A Girl — Katy Perry"", ""Blurred Lines — Robin Thicke, T.I., Pharrell Williams""]",0,,,,From 'Footloose (15th Anniversary Collectors' Edition)' (1984),"[""From album: Footloose (15th Anniversary Collectors' Edition)"", ""Release year: 1984"", ""Spotify popularity: 73/100""]",Playlist Import,1984,,https://open.spotify.com/track/2vz1CsL5WBsbpBcwgboTAw
sp_0033,Africa,TOTO,🎵✨,"[""Livin' On A Prayer — Bon Jovi"", ""Black Betty — Ram Jam"", ""Free Fallin' — Tom Petty"", ""Africa — TOTO""]",3,,,,From 'Toto IV' (1982),"[""From album: Toto IV"", ""Release year: 1982"", ""Spotify popularity: 88/100""]",Playlist Import,1982,,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
sp_0034,Don't Stop Believin',Journey,🎵✨,"[""Hey Ya! — Outkast"", ""Under Pressure - Remastered 2011 — Queen, David Bowie"", ""Don't Stop Believin' — Journey"", ""Sunday Bloody Sunday - Remastered 2008 — U2""]",2,,,,From 'The Essential Journey' (2001),"[""From album: The Essential Journey"", ""Release year: 2001"", ""Spotify popularity: 77/100""]",Playlist Import,2001,,https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg
sp_0035,Jessie's Girl,Rick Springfield,🎵✨🎧,"[""All Star — Smash Mouth"", ""Shake It Off — Taylor Swift"", ""Jessie's Girl — Rick Springfield"", ""My Way — Frank Sinatra""]",2,,,,From 'The Best Of Rick Springfield' (1999),"[""From album: The Best Of Rick Springfield"", ""Release year: 1999"", ""Spotify popularity: 58/100""]",Playlist Import,1999,,https://open.spotify.com/track/0TF3F5Lw5apoD1zvR8LikO
sp_0036,Beat It,Michael Jackson,🎵✨🎧,"[""Pour Some Sugar On Me (2012) — Def Leppard"", ""Gucci Gang — Lil Pump"", ""Stairway to Heaven - 1990 Remaster — Led Zeppelin"", ""Beat It — Michael Jackson""]",3,,,,From 'Thriller' (1982),"[""From album: Thriller"", ""Release year: 1982"", ""Spotify popularity: 81/100""]",Playlist Import,1982,,https://open.spotify.com/track/3BovdzfaX4jb5KFQwoPfAw
sp_0037,Walk Like an Egyptian,The Bangles,🎵✨🎧,"[""Walk Like an Egyptian — The Bangles"", ""Fly Me To The Moon — Frank Sinatra, Count Basie"", ""Sweet Child O' Mine — Guns N' Roses"", ""Don't Stop Believin' — Journey""]",0,,,,From 'The Essential Bangles' (2004),"[""From album: The Essential Bangles"", ""Release year: 2004"", ""Spotify popularity: 65/100""]",Playlist Import,2004,,https://open.spotify.com/track/1Jwc3ODLQxtbnS8M9TflSP
sp_0038,Wake Me Up Before You Go-Go,Wham!,🎵✨🎧,"[""Wake Me Up Before You Go-Go — Wham!"", ""I Will Survive - Single Version — Gloria Gaynor"", ""Rockin' Robin — Bobby Day"", ""Sexual Healing — Marvin Gaye""]",0,,,,From 'If You Were There/The Best Of Wham' (2010),"[""From album: If You Were There/The Best Of Wham"", ""Release year: 2010""]",Playlist Import,2010,,https://open.spotify.com/track/5l1RLE94Y7nrowPN5LvAci
sp_0039,Hungry Like the Wolf - 2009 Remaster,Duran Duran,🎵✨,"[""Fuck You — CeeLo Green"", ""9 to 5 — Dolly Parton"", ""Hungry Like the Wolf - 2009 Remaster — Duran Duran"", ""Fat Bottomed Girls - Remastered 2011 — Queen""]",2,,,,From 'Rio (Collector's Edition)' (1982),"[""From album: Rio (Collector's Edition)"", ""Release year: 1982"", ""Spotify popularity: 76/100""]",Playlist Import,1982,,https://open.spotify.com/track/39lSeqnyjZJejRuaREfyLL
sp_0040,Eye of the Tiger,Survivor,🎵✨,"[""Eye of the Tiger — Survivor"", ""Hotline Bling — Drake"", ""Mr. Blue Sky — Electric Light Orchestra"", ""All Star — Smash Mouth""]",0,,,,From 'The Best Of Survivor' (2006),"[""From album: The Best Of Survivor"", ""Release year: 2006"", ""Spotify popularity: 52/100""]",Playlist Import,2006,,https://open.spotify.com/track/0cKuO2BdECtbVQDCGx1dqa
sp_0041,Born in the U.S.A.,Bruce Springsteen,🎵✨,"[""Born in the U.S.A. — Bruce Springsteen"", ""Holiday / Boulevard of Broken Dreams — Green Day"", ""Hey, Soul Sister — Train"", ""We Are Never Ever Getting Back Together — Taylor Swift""]",0,,,,From 'The Essential Bruce Springsteen' (1973),"[""From album: The Essential Bruce Springsteen"", ""Release year: 1973""]",Playlist Import,1973,,https://open.spotify.com/track/57Uplvs802NVw2msQIMS4P
sp_0042,Born to Run,Bruce Springsteen,🎵✨🎧,"[""Rocket Man (I Think It's Going To Be A Long Long Time) — Elton John"", ""I'll Make Love To You — Boyz II Men"", ""The Times They Are A-Changin' — Bob Dylan"", ""Born to Run — Bruce Springsteen""]",3,,,,From 'Born To Run' (1975),"[""From album: Born To Run"", ""Release year: 1975"", ""Spotify popularity: 75/100""]",Playlist Import,1975,,https://open.spotify.com/track/6hTcuIQa0sxrrByu9wTD7s
sp_0043,The Final Countdown,Europe,🎵✨,"[""School's Out — Alice Cooper"", ""Say So — Doja Cat"", ""Take on Me — a-ha"", ""The Final Countdown — Europe""]",3,,,,From '80 Totally 80s Hits' (2014),"[""From album: 80 Totally 80s Hits"", ""Release year: 2014"", ""Spotify popularity: 33/100""]",Playlist Import,2014,,https://open.spotify.com/track/6jpZQXdoPr9ZAhr9mxCyW0
sp_0044,Every Breath You Take,The Police,🎵✨,"[""Joy To The World — Three Dog Night"", ""Every Breath You Take — The Police"", ""Dreams - 2004 Remaster — Fleetwood Mac"", ""Stand by Me — Otis Redding""]",1,,,,From 'Every Breath You Take : The Classics' (1995),"[""From album: Every Breath You Take : The Classics"", ""Release year: 1995"", ""Spotify popularity: 2/100""]",Playlist Import,1995,,https://open.spotify.com/track/2PnNomkEqlg9ADKCVG0Wt0
sp_0045,Crazy Train,Ozzy Osbourne,🎵✨🎧,"[""Ignition - Remix — R. Kelly"", ""rockstar (feat. 21 Savage) — Post Malone, 21 Savage"", ""Cocaine — Eric Clapton"", ""Crazy Train — Ozzy Osbourne""]",3,,,,From 'Blizzard of Ozz (Expanded Edition)' (1980),"[""From album: Blizzard of Ozz (Expanded Edition)"", ""Release year: 1980"", ""Spotify popularity: 7/100""]",Playlist Import,1980,,https://open.spotify.com/track/2b9lp5A6CqSzwOrBfAFhof
sp_0046,Never Gonna Give You Up,Rick Astley,🎵✨🎧,"[""Never Gonna Give You Up — Rick Astley"", ""Walk Like an Egyptian — The Bangles"", ""Highway to Hell — AC/DC"", ""T.N.T. — AC/DC""]",0,,,,From 'Platinum & Gold Collection' (2004),"[""From album: Platinum & Gold Collection"", ""Release year: 2004""]",Playlist Import,2004,,https://open.spotify.com/track/0FutrWIUM5Mg3434asiwkp
sp_0047,"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,🎵✨🎧,"[""Born to Run — Bruce Springsteen"", ""My Generation - Mono Version — The Who"", ""Danger Zone - From \""Top Gun\"" Original Soundtrack — Kenny Loggins"", ""Uptown Funk (feat. Bruno Mars) — Mark Ronson, Bruno Mars""]",2,,,,"From 'Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins' (1997)","[""From album: Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins"", ""Release year: 1997"", ""Spotify popularity: 75/100""]",Playlist Import,1997,,https://open.spotify.com/track/34x6hEJgGAOQvmlMql5Ige
sp_0048,Sexual Healing,Marvin Gaye,🎵✨,"[""Barracuda — Heart"", ""Imagine - Remastered 2010 — John Lennon"", ""Sexual Healing — Marvin Gaye"", ""Rude (Acoustic) — MAGIC!""]",2,,,,From ''80s Pop Hits' (2001),"[""From album: '80s Pop Hits"", ""Release year: 2001"", ""Spotify popularity: 38/100""]",Playlist Import,2001,,https://open.spotify.com/track/4sTjpbVRhhzN5YHhYMYbe3
sp_0049,Like a Virgin,Madonna,🎵✨,"[""Enter Sandman — Metallica"", ""Like a Virgin — Madonna"", ""Call Me Maybe — Carly Rae Jepsen"", ""Umbrella — Rihanna, JAY-Z""]",1,,,,From 'Like a Virgin' (1984),"[""From album: Like a Virgin"", ""Release year: 1984"", ""Spotify popularity: 72/100""]",Playlist Import,1984,,https://open.spotify.com/track/1ZPlNanZsJSPK5h9YZZFbZ
sp_0050,Karma Chameleon,Culture Club,🎵✨🎧,"[""Boom Boom Pow — Black Eyed Peas"", ""Karma Chameleon — Culture Club"", ""Alone — Heart"", ""I Will Always Love You — Whitney Houston""]",1,,,,From 'At Worst...The Best Of Boy George And Culture Club' (1993),"[""From album: At Worst...The Best Of Boy George And Culture Club"", ""Release year: 1993"", ""Spotify popularity: 64/100""]",Playlist Import,1993,,https://open.spotify.com/track/48O0GrGJWml3DzHhC5sJ7a
sp_0051,9 to 5,Dolly Parton,🎵✨🎧,"[""Titanium (feat. Sia) — David Guetta, Sia"", ""TiK ToK — Kesha"", ""The Fresh Prince of Bel-Air — DJ Jazzy Jeff & The Fresh Prince"", ""9 to 5 — Dolly Parton""]",3,,,,From 'Dolly' (2009),"[""From album: Dolly"", ""Release year: 2009""]",Playlist Import,2009,,https://open.spotify.com/track/07j5RLJHwsm4cUb3GGoW3w
sp_0052,Jolene,Dolly Parton,🎵✨,"[""Respect — Aretha Franklin"", ""Mamma Mia — ABBA"", ""Jolene — Dolly Parton"", ""Livin' On A Prayer — Bon Jovi""]",2,,,,From 'Jolene' (1974),"[""From album: Jolene"", ""Release year: 1974"", ""Spotify popularity: 73/100""]",Playlist Import,1974,,https://open.spotify.com/track/2SpEHTbUuebeLkgs9QB7Ue
sp_0053,In The Air Tonight,Phil Collins,🎵✨🎧,"[""Livin' On A Prayer — Bon Jovi"", ""Radioactive — Imagine Dragons"", ""Brick House — Commodores"", ""In The Air Tonight — Phil Collins""]",3,,,,From 'Face Value' (1981),"[""From album: Face Value"", ""Release year: 1981"", ""Spotify popularity: 2/100""]",Playlist Import,1981,,https://open.spotify.com/track/7Dbg5O9nNWu6SWxDjJ9qoq
sp_0054,Free Fallin',Tom Petty,🎵✨🎧,"[""Fancy — Iggy Azalea, Charli xcx"", ""Free Fallin' — Tom Petty"", ""Dangerous Woman — Ariana Grande"", ""Eye of the Tiger — Survivor""]",1,,,,From 'Greatest Hits' (2010),"[""From album: Greatest Hits"", ""Release year: 2010""]",Playlist Import,2010,,https://open.spotify.com/track/4Z0ZWdhqh1RWeIKLl7zC6J
sp_0055,Crazy,Gnarls Barkley,🎵✨,"[""Like a Virgin — Madonna"", ""Promiscuous — Nelly Furtado, Timbaland"", ""Survivor — Destiny's Child"", ""Crazy — Gnarls Barkley""]",3,,,,From 'St. Elsewhere' (2006),"[""From album: St. Elsewhere"", ""Release year: 2006"", ""Spotify popularity: 79/100""]",Playlist Import,2006,,https://open.spotify.com/track/1vxw6aYJls2oq3gW0DujAo
sp_0056,Empire State Of Mind,"JAY-Z, Alicia Keys",🎵✨🎧,"[""Juke Box Hero — Foreigner"", ""Hey Ya! — Outkast"", ""Dangerous Woman — Ariana Grande"", ""Empire State Of Mind — JAY-Z, Alicia Keys""]",3,,,,From 'The Hits Collection Volume One (Deluxe)' (2010),"[""From album: The Hits Collection Volume One (Deluxe)"", ""Release year: 2010"", ""Spotify popularity: 51/100""]",Playlist Import,2010,,https://open.spotify.com/track/3xkxcbnc7G3XYuZt6eUnI5
sp_0057,Rehab,Amy Winehouse,🎵✨🎧,"[""Footloose - From \""Footloose\"" Soundtrack — Kenny Loggins"", ""Rehab — Amy Winehouse"", ""Black or White - Single Version — Michael Jackson"", ""Toxic — Britney Spears""]",1,,,,From 'Frank & Back To Black' (2008),"[""From album: Frank & Back To Black"", ""Release year: 2008""]",Playlist Import,2008,,https://open.spotify.com/track/1bGQ57jxWpqBWMMw1X9ni7
